osm_id,name,description,category,amenity_type,access,capacity,rating,latitude,longitude
n6042163522,Saint Paul UMC Preschool,,kindergarten,kindergarten,,,,38.6636347,-77.2568669
n6042898544,Ruth's Chris Steak House,,restaurant,restaurant,,,,38.9263516,-77.2401034
n6045394040,Visual Health Doctors of Optometry,,clinic,clinic,,,,38.8876143,-77.0946024
n6051754816,Nando's,,restaurant,restaurant,,,,38.8966993,-77.0713605
n6051754817,McDonald's,,fast_food,fast_food,,,,38.8962839,-77.0712911
n6052771206,Advance,,car_rental,car_rental,,,,38.8812111,-77.1098839
n6052771215,CVS Pharmacy,,pharmacy,pharmacy,,,,38.8796972,-77.1101053
n6052771904,Bloom Dental,,dentist,dentist,,,,38.8812054,-77.1101271
n6052771905,Navy Federal,,atm,atm,,,,38.8808031,-77.1089128
n6052771906,Capital One,,bank,bank,,,,38.8797027,-77.1106132
n6052787698,Testudo BJJ Judo,,dojo,dojo,,,,38.8300461,-77.0590277
n6055883977,N Kennebec St & 11th St N,,bicycle_rental,bicycle_rental,,8.0,,38.8810042,-77.135284
n6061407376,Pediatric Associate Springfield,,doctors,doctors,,,,38.8014983,-77.1849661
n6091244516,Arlington Blvd & S George Mason Dr,,bicycle_rental,bicycle_rental,,15.0,,38.8694314,-77.1044609
n6122563782,Fort Belvoir Post Office,,post_office,post_office,,,,38.6876273,-77.1369655
n6123973735,Me Jana,,restaurant,restaurant,,,,38.8902972,-77.087323
n6127364003,Pho Hot,,restaurant,restaurant,,,,38.8325001,-77.20228
n6127364009,Casa D'Marios Pizzeria,,restaurant,restaurant,,,,38.8322327,-77.1998013
n6127374171,kogiya korean bbq,,restaurant,restaurant,,,,38.831964,-77.1970512
n6127374174,Bitez,,restaurant,restaurant,,,,38.8308508,-77.1957315
n6127374175,Fumee Cafe,,cafe,cafe,,,,38.8309001,-77.1956311
n6127382058,Mad For Grill,Korean B.B.Q.,restaurant,restaurant,,,,38.8303556,-77.1977303
n6127384929,Diamond Bar,,bar,bar,,,,38.8289315,-77.1930037
n6127384931,Sazon Venezolano Bar Grill,,restaurant,restaurant,,,,38.8289357,-77.1932182
n6127384933,Casa de Campo,,restaurant,restaurant,,,,38.8293509,-77.1920491
n6127384934,Casa Grande Annandale,,restaurant,restaurant,,,,38.8294134,-77.1923941
n6128184849,Trio Grill,,restaurant,restaurant,,,,38.8757734,-77.223528
n6128184850,Open Road,,restaurant,restaurant,,,,38.875687,-77.223958
